Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№31908276508;Прочие;Оказание услуг по организации участия представителей Заказчика в 34-м заседании Подгруппы по судостроению Российско-Индийской межправительственной Комиссии по ВТС;;;1;1452-2019-00241. Оказание услуг по организации участия представителей Заказчика в 34-м заседании Подгруппы по судостроению Российско-Индийской межправительственной Комиссии по ВТС;372090.31;RUB;;;;;82.30.12.000: Услуги по организации торговых выставок;82.30.12.000: Услуги по организации торговых выставок;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТАГАНРОГСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ СВЯЗИ""";;06.09.2019;06.09.2019;Закупка завершена;;06.09.2019;;
223-ФЗ;№31908276070;Прочие;Проведение технического освидетельствования (ТО 2) баллонов стенда пневмоиспытаний ВВД-400, расположенного по адресу: г. Санкт-Петербург, ул. Трефолева, д. 4, корп. 3;;;1;Проведение технического освидетельствования (ТО 2) баллонов стенда пневмоиспытаний ВВД-400, расположенного по адресу: г. Санкт-Петербург, ул. Трефолева, д. 4, корп. 3;18168855.60;RUB;;;;;43.99: Работы строительные специализированные, не включенные в другие группировки;43.99: Работы строительные специализированные, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;06.09.2019;06.09.2019;Закупка завершена;;06.09.2019;18.09.2019;
223-ФЗ;№31908272942;Прочие;Оказание услуг по оформлению пяти делегатских пакетов «Делегат» и одного делегатского пакета «Эксперт» для участия в 15-й Международной выставке и конференции по гражданскому судостроению, судоходству, деятельности портов, освоению океана и шельфа;;;1;Оказание услуг по оформлению пяти делегатских пакетов «Делегат» и одного делегатского пакета «Эксперт» для участия в 15-й Международной выставке и конференции по гражданскому судостроению, судоходству, деятельности портов, освоению океана и шельфа;132000.00;RUB;;;;;82.30.12.000: Услуги по организации торговых выставок;82.30.12.000: Услуги по организации торговых выставок;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ «СУДОСТРОИТЕЛЬНЫЙ ЗАВОД «МОРЕ»;;05.09.2019;05.09.2019;Закупка завершена;;05.09.2019;05.09.2019;
223-ФЗ;№31908269028;Прочие;Промывка сетей наружной канализации на промышленных площадках АО «ЦТСС»  по адресам:: г СПб, ул.Промышленная, д.7,д.17, ул Трефолева д.4 корп.3, д.2 литер БЕ,БК.;;;1;Промывка сетей наружной канализации на промышленных площадках АО «ЦТСС»  по адресам:: г СПб, ул.Промышленная, д.7,д.17, ул Трефолева д.4 корп.3, д.2 литер БЕ,БК.;479818.96;RUB;;;;;37.00.11.150: Услуги по техническому обслуживанию и очистке систем водоотведения и дренажных труб, включая арматуру систем водоотведения;37.00.11.150: Услуги по техническому обслуживанию и очистке систем водоотведения и дренажных труб, включая арматуру систем водоотведения;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;04.09.2019;04.09.2019;Закупка завершена;;04.09.2019;18.09.2019;
223-ФЗ;№31908267548;Прочие;"Предоставление права использования программы для ЭВМ ""Диалог-Статик""";;;1;"Предоставление права использования программы для ЭВМ ""Диалог-Статик""";189000.00;RUB;;;;;58.29.32: Обеспечение программное прикладное для загрузки;58.29.32: Обеспечение программное прикладное для загрузки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;04.09.2019;04.09.2019;Закупка завершена;;04.09.2019;18.09.2019;
223-ФЗ;№31908263104;Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Поставка запасных частей к хранилищу ЕМС;;;1;Запасные части для хранилища ЕМС ;430980.00;RUB;;;;;28.23.25: Части и принадлежности прочих офисных машин;28.23.25: Части и принадлежности прочих офисных машин;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНЫЙ ЦЕНТР СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;03.09.2019;03.09.2019;Закупка завершена;;03.09.2019;11.09.2019;
223-ФЗ;№31908263814;Прочие;Закупка отливок;;;1;Закупка отливок;329999.95;RUB;;;;;24.54: Услуги по литью прочих цветных металлов;24.54: Услуги по литью прочих цветных металлов;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;03.09.2019;03.09.2019;Закупка завершена;;03.09.2019;13.09.2019;
223-ФЗ;№31908263101;Прочие;Закупка отливок;;;1;Закупка отливок;329999.95;RUB;;;;;24.54: Услуги по литью прочих цветных металлов;24.54: Услуги по литью прочих цветных металлов;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;03.09.2019;03.09.2019;Закупка завершена;;03.09.2019;13.09.2019;
223-ФЗ;№31908262245;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;Поставка проката стального г/к для судостроения, изготовленного под надзором РМРС;;;1;Поставка проката стального г/к для судостроения, изготовленного под надзором РМРС;5121350.00;RUB;;;;;24.10.2: Сталь;24.10.2: Сталь;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НОВОРОССИЙСКИЙ СУДОРЕМОНТНЫЙ ЗАВОД""";;02.09.2019;02.09.2019;Закупка завершена;;02.09.2019;10.09.2019;
223-ФЗ;№31908261803;Закупка у единственного поставщика (подрядчика, исполнителя);Монтаж и пусконаладочные работы;;;1;Монтаж и пусконаладочные работы;1354000.00;RUB;;;;;33.2: Услуги по монтажу промышленных машин и оборудования;33.2: Услуги по монтажу промышленных машин и оборудования;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ТЕХНОЛОГИИ СУДОСТРОЕНИЯ И СУДОРЕМОНТА""";;02.09.2019;02.09.2019;Закупка завершена;;02.09.2019;;
