Реестровый номер закупки;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона;;;;
№31705107417;30.11.32: Буксиры и суда-толкачи;30.11.32: Буксиры и суда-толкачи;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА РОСМОРРЕЧФЛОТА""";;12.05.2017;26.05.2017;Закупка завершена;;12.05.2017;13.06.2017;;;;;
№32514992746;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";;30.06.2025;30.06.2025;Подача заявок;;30.06.2025;31.07.2025;;;;;
№0373100119622000001;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";28.09.2022;18.11.2022;Определение поставщика завершено;;;15.11.2022;;;;;
№0324100010421000163;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ СЕВЕРО-ДВИНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ СЕВЕРО-ДВИНСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ""";23.12.2021;12.01.2022;Определение поставщика завершено;;23.12.2021;11.01.2022;;;;;
№32111001581;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;28.12.2021;28.12.2021;Закупка завершена;;28.12.2021;24.01.2022;;;;;
№32111001508;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;28.12.2021;28.12.2021;Закупка завершена;;28.12.2021;24.01.2022;;;;;
№32111001294;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;28.12.2021;28.12.2021;Закупка завершена;;28.12.2021;24.01.2022;;;;;
№32110872199;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;;;;;
№32110871910;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;;;;;
№32110871799;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;;;;;
№32110871447;30.11.21.110: Суда морские пассажирские;30.11.21.110: Суда морские пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;;;;;
№32110871227;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";;26.11.2021;26.11.2021;Закупка завершена;;26.11.2021;13.12.2021;;;;;
№32110737619;"30.11.33.190: Суда прочие; 42.22.13.200: Электростанции атомные";"30.11.33.190: Суда прочие; 42.22.13.200: Электростанции атомные";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;18.10.2021;18.10.2021;Закупка завершена;;18.10.2021;;;;;;
№0572100000221000004;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ГИДРОГРАФИЧЕСКОЕ ПРЕДПРИЯТИЕ;28.07.2021;22.09.2021;Определение поставщика завершено;;28.07.2021;06.09.2021;;;;;
№0373100119621000005;30.11.32.114: Буксиры морские спасательные;30.11.32.114-00000001: Аварийно-спасательное судно;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ЗАКАЗЧИКА ПРОГРАММ РАЗВИТИЯ МОРСКОГО ТРАНСПОРТА""";18.06.2021;26.07.2021;Определение поставщика завершено;;18.06.2021;12.07.2021;;;;;
№0373100119821000001;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";15.04.2021;12.07.2021;Определение поставщика завершено;;15.04.2021;06.07.2021;;;;;
№0572100000221000003;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ГОСУДАРСТВЕННАЯ КОРПОРАЦИЯ ПО АТОМНОЙ ЭНЕРГИИ ""РОСАТОМ""";ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ГИДРОГРАФИЧЕСКОЕ ПРЕДПРИЯТИЕ;22.06.2021;08.07.2021;Определение поставщика завершено;;22.06.2021;08.07.2021;;;;;
