Реестровый номер закупки;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона;;;;
№0324100019021000013;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";05.08.2021;06.09.2021;Определение поставщика завершено;;05.08.2021;27.08.2021;;;;;
№0338100004622000020;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";15.04.2022;04.05.2022;Определение поставщика завершено;;;04.05.2022;;;;;
№0324100019021000012;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";02.08.2021;05.08.2021;Определение поставщика отменено;;02.08.2021;24.08.2021;;;;;
№0338100004622000039;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";23.06.2022;12.07.2022;Определение поставщика завершено;;;11.07.2022;;;;;
№0324100019021000015;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";12.11.2021;27.12.2021;Определение поставщика завершено;;12.11.2021;10.12.2021;;;;;
№0190200000320007293;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ТРАНСПОРТА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА""";ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА;26.06.2020;04.08.2020;Определение поставщика завершено;;26.06.2020;29.07.2020;;;;;
№0190200000320009345;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ТРАНСПОРТА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА""";ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА;15.09.2020;01.10.2020;Определение поставщика завершено;;15.09.2020;30.09.2020;;;;;
№0324100019021000014;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";19.08.2021;02.09.2021;Определение поставщика отменено;;19.08.2021;10.09.2021;;;;;
№0320100031222000006;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ПРИРОДНОГО БИОСФЕРНОГО ЗАПОВЕДНИКА ""КЕДРОВАЯ ПАДЬ"" И НАЦИОНАЛЬНОГО ПАРКА ""ЗЕМЛЯ ЛЕОПАРДА"" ИМЕНИ Н.Н. ВОРОНЦОВА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ПРИРОДНОГО БИОСФЕРНОГО ЗАПОВЕДНИКА ""КЕДРОВАЯ ПАДЬ"" И НАЦИОНАЛЬНОГО ПАРКА ""ЗЕМЛЯ ЛЕОПАРДА"" ИМЕНИ Н.Н. ВОРОНЦОВА""";22.04.2022;11.05.2022;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;22.04.2022;04.05.2022;;;;;
№0334100031622000016;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ПРИРОДНОГО ЗАПОВЕДНИКА ""БАЙКАЛО-ЛЕНСКИЙ"" И ПРИБАЙКАЛЬСКОГО НАЦИОНАЛЬНОГО ПАРКА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ПРИРОДНОГО ЗАПОВЕДНИКА ""БАЙКАЛО-ЛЕНСКИЙ"" И ПРИБАЙКАЛЬСКОГО НАЦИОНАЛЬНОГО ПАРКА""";29.06.2022;08.07.2022;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;29.06.2022;08.07.2022;;;;;
№32110502413;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;;;;;
№32110502355;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;;;;;
№32110502103;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;;;;;
№32110501454;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;;;;;
№32110500609;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;;;;;
№0138200003121000008;;;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХАБАРОВСКИЙ СУДОСТРОИТЕЛЬНЫЙ ЗАВОД""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМТЕХСЕРВИС""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИВАДИЙСКИЙ РЕМОНТНО-СУДОСТРОИТЕЛЬНЫЙ ЗАВОД""";18.06.2021;22.07.2021;Закупка завершена;;;15.07.2021;;;
№0138200001219000009;;;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИВАДИЙСКИЙ РЕМОНТНО-СУДОСТРОИТЕЛЬНЫЙ ЗАВОД""";25.03.2019;12.04.2019;Закупка завершена;;;10.04.2019;;;;;
№0138200001218000038;;;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ФИНАНСОВ КАМЧАТСКОГО КРАЯ;21.11.2018;21.02.2019;Закупка завершена;;;07.12.2018;;;;;
№31604353368;"30.11.21: Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов";;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";21.11.2016;21.11.2016;Закупка отменена;;;12.12.2016 12:00;;;;;
№32312031225;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";13.01.2023;27.01.2023;Закупка отменена;;;23.01.2023 11:00;;;;;
№0172200001622000107;;;КОМИТЕТ ПО ПРИРОДОПОЛЬЗОВАНИЮ, ОХРАНЕ ОКРУЖАЮЩЕЙ СРЕДЫ И ОБЕСПЕЧЕНИЮ ЭКОЛОГИЧЕСКОЙ БЕЗОПАСНОСТИ;КОМИТЕТ ПО ПРИРОДОПОЛЬЗОВАНИЮ, ОХРАНЕ ОКРУЖАЮЩЕЙ СРЕДЫ И ОБЕСПЕЧЕНИЮ ЭКОЛОГИЧЕСКОЙ БЕЗОПАСНОСТИ;30.12.2022;27.01.2023;Закупка завершена;;;25.01.2023;;;;;
№32211982691;30.11.21.119: Суда морские пассажирские прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";22.12.2022;26.12.2022;Закупка завершена;;;30.12.2022 9:00;;;;;
№0322100015822000046;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ АМУРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ """;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ АМУРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ """;16.11.2022;09.12.2022;Закупка завершена;;;02.12.2022;;;;;
№32211827029;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";08.11.2022;14.11.2022;Закупка завершена;;;24.11.2022 11:00;;;;;
№0373100134122000020;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";26.09.2022;14.10.2022;Закупка завершена;;;12.10.2022;;;;;
№0319300003422000415;;;АДМИНИСТРАЦИЯ ТАЙМЫРСКОГО ДОЛГАНО-НЕНЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА И ПОТРЕБИТЕЛЬСКОГО РЫНКА АДМИНИСТРАЦИИ ТАЙМЫРСКОГО ДОЛГАНО-НЕНЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;13.09.2022;21.09.2022;Закупка завершена;;;21.09.2022;;;;;
№32211656230;30.11.33.190: Суда прочие,29.20.23.114: Прицепы и полуприцепы, технически допустимая максимальная масса которых свыше 10 т;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";30.08.2022;31.10.2022;Закупка завершена;;;15.09.2022 11:00;;;;;
№0373100134122000016;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";25.08.2022;23.09.2022;Закупка завершена;;;12.09.2022;;;;;
№0373100134122000010;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";13.07.2022;11.08.2022;Закупка завершена;;;29.07.2022;;;;;
№0138200003122000006;;;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;01.07.2022;26.07.2022;Закупка завершена;;;25.07.2022;;;;;
№0172200002522000055;;;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АГЕНТСТВО ВНЕШНЕГО ТРАНСПОРТА""";КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;14.04.2022;26.04.2022;Закупка завершена;;;22.04.2022;;;;;
№32211312294;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";14.04.2022;27.05.2022;Закупка завершена;;;04.05.2022 11:00;;;;;
№32211306070;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";12.04.2022;26.05.2022;Закупка завершена;;;11.05.2022 12:00;;;;;
№0350100002322000004;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ ПАРК ""ВАЛДАЙСКИЙ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ ПАРК ""ВАЛДАЙСКИЙ""";11.04.2022;21.04.2022;Закупка завершена;;;19.04.2022;;;;;
№0173100005022000003;;;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;31.03.2022;12.04.2022;Закупка завершена;;;08.04.2022;;;;;
№0319300003422000081;;;АДМИНИСТРАЦИЯ ТАЙМЫРСКОГО ДОЛГАНО-НЕНЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА И ПОТРЕБИТЕЛЬСКОГО РЫНКА АДМИНИСТРАЦИИ ТАЙМЫРСКОГО ДОЛГАНО-НЕНЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;28.03.2022;05.04.2022;Закупка завершена;;;05.04.2022;;;;;
№0862600013822000002;;;"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЕ ХОЗЯЙСТВО""";"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЕ ХОЗЯЙСТВО""";24.03.2022;04.04.2022;Закупка завершена;;;01.04.2022;;;;;
№32211089202;29.20.23.114: Прицепы и полуприцепы, технически допустимая максимальная масса которых свыше 10 т,30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";01.02.2022;02.02.2022;Закупка завершена;;;17.02.2022 11:00;;;;;
№0195400000221000406;;;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА МНЕВ И К""";30.11.2021;14.12.2021;Закупка завершена;;;13.12.2021;;;;;
№32110872040;30.11.21.120: Суда речные пассажирские;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";26.11.2021;16.12.2021;Закупка завершена;;;13.12.2021 12:00;;;;;
№32110871009;30.11.21.120: Суда речные пассажирские;;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";26.11.2021;15.12.2021;Закупка завершена;;;13.12.2021 12:00;;;;;
№0190300002721000294;;;УПРАВЛЕНИЕ ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА, ТРАНСПОРТА, СВЯЗИ И ЭКСПЛУАТАЦИИ ДОРОГ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ШУРЫШКАРСКИЙ РАЙОН;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОСТРОМСКОЙ СУДОМЕХАНИЧЕСКИЙ ЗАВОД""";19.11.2021;02.12.2021;Закупка завершена;;;30.11.2021;;;;;
№0126200000421004544;;;ДЕПАРТАМЕНТ АГРОПРОМЫШЛЕННОГО КОМПЛЕКСА И ВОСПРОИЗВОДСТВА ОКРУЖАЮЩЕЙ СРЕДЫ БЕЛГОРОДСКОЙ ОБЛАСТИ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАШМЕТ""";18.10.2021;10.11.2021;Закупка завершена;;;28.10.2021;;;;;
№0373100089321000257;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ВОДОХОЗЯЙСТВЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТРРЕГИОНВОДХОЗ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАШМЕТ""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗИС""";20.09.2021;01.10.2021;Закупка завершена;;;30.09.2021;;;;
№0825500000621000110;;;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ АСТРАХАНСКОЙ ОБЛАСТИ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫМИ ДОРОГАМИ ОБЩЕГО ПОЛЬЗОВАНИЯ ""АСТРАХАНЬАВТОДОР""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙЛИДЕРПЛЮС""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННАЯ ГРУППА ""СЛИП""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕССОН""";07.09.2021;23.09.2021;Закупка завершена;;;15.09.2021;;;
№32110484691;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";20.07.2021;20.07.2021;Закупка завершена;;;10.08.2021 11:00;;;;;
