Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№31907808276;Открытый конкурс;выполнение работ по строительству и поставке маломерных судов  для службы капитанов морских портов Мурманск и Архангельск ФГБУ «АМПЗападной Арктики» ;;;1;Выполнение работ по  строительству и поставке маломерных судов для службы капитана морского порта Мурманск, Архангельск;360000000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";;23.04.2019;23.04.2019;Закупка завершена;;23.04.2019;13.05.2019;
44-ФЗ;№0195400000219000103;Электронный аукцион;Специальный скоростной катер серии «Сарган» проекта 1100М;;'191772237786677220100110000783011212';;;120000000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;20.03.2019;17.04.2019;Определение поставщика завершено;;20.03.2019;11.04.2019;
44-ФЗ;№0173100012519000017;Электронный аукцион;Катер для доставки спецподразделений к месту проведения операции «Альянс-8,5»;;'191770607473777060100199610013011000';;;153026875.98;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;25.02.2019;03.04.2019;Определение поставщика завершено;;25.02.2019;28.03.2019;
44-ФЗ;№0173100005019000001;Электронный аукцион;Приобретение постороенных патрульных катеров длиной 11-13,5 метров;;'191771454975177140100100190013011412';;;193274300.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;13.02.2019;06.03.2019;Определение поставщика завершено;;13.02.2019;04.03.2019;
44-ФЗ;№0173100004518002074;Закрытый аукцион;  Поставка радиогидроакустических, радиотелеметрических буев РГБ-16М, РГБ-16МК, РТБ-93К.;;'181770425226177040100172480013011211';;;649939437.80;RUB;;;;;30.11.50.150: Буи и бакены;30.11.50.150: Буи и бакены;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;14.12.2018;15.01.2019;Определение поставщика завершено;;13.12.2018;10.01.2019;
223-ФЗ;№31807238094;Прочие;277 - Поставка портового буксира;;;1;Поставка портового буксира;397000000.00;RUB;;;;;30.11.32: Буксиры и суда-толкачи;30.11.32: Буксиры и суда-толкачи;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬТРАНСУГОЛЬ""";;03.12.2018;13.12.2018;Закупка завершена;;03.12.2018;;
44-ФЗ;№0424100000318000078;Открытый конкурс;Строительство, оборудование и комплектация транспортного понтона, поставка заказчику, осуществление испытаний;;'181290205909199785000100000003011000';;;977825000.00;RUB;;;;;30.11.50.120: Понтоны;30.11.50.120: Понтоны;"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";"акционерное общество ""Производственное объединение ""Северное машиностроительное предприятие""";07.11.2018;06.12.2018;Определение поставщика завершено;;08.11.2018;28.11.2018;
44-ФЗ;№0195400000218000557;Закупка у единственного поставщика (подрядчика, исполнителя);Скоростной транспортно-десантный катер проекта 02510 (БК-16);;'181772237786677220100103500013011000';;;322021743.88;RUB;;;;;30.11.10.000: Корабли военные;30.11.10.000: Корабли военные;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;ФЕДЕРАЛЬНАЯ СЛУЖБА ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ;24.10.2018;24.10.2018;Определение поставщика завершено;;;;
44-ФЗ;№0173100012518000102;Электронный аукцион;Катера (моторные лодки) с транспортировочными прицепами (трейлерами);;'181770607473777060100101540013011000';;;199830677.43;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;МИНИСТЕРСТВО ВНУТРЕННИХ ДЕЛ РОССИЙСКОЙ ФЕДЕРАЦИИ;08.08.2018;31.08.2018;Определение поставщика завершено;;08.08.2018;27.08.2018;
223-ФЗ;№31806673717;Открытый конкурс;Поставка плавкрана;;;1;Поставка плавкрана;110722732.67;RUB;;;;;"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"30.11.33: Земснаряды; плавучие маяки, плавучие краны; прочие суда";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОРСКАЯ СПАСАТЕЛЬНАЯ СЛУЖБА""";;29.06.2018;29.06.2018;Закупка завершена;;29.06.2018;20.07.2018;
44-ФЗ;№0373100119818000002;Открытый конкурс;"""Земснаряды""строительство несамоходного многочерпакового шаландового земснаряда  класса ""Р1,2 (лед 10)А"" проекта 3409";;'181770723151077070100100060013011414';;;533828100.00;RUB;;;;;30.11.33.110: Земснаряды;30.11.33.110: Земснаряды;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";11.05.2018;09.06.2018;Определение поставщика завершено;;10.05.2018;01.06.2018;
44-ФЗ;№0373100119818000001;Открытый конкурс;"""Обстановочный теплоход""строительство обстановочного судна  класса  "" М3.0 (лед 30) А"" проект №3265";;'181770723151077070100100090013011414';;;299800000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";11.05.2018;09.06.2018;Определение поставщика завершено;;10.05.2018;01.06.2018;
44-ФЗ;№0373100119817000006;Открытый конкурс;выполнение работ по строительству объекта «Дноуглубительный флот» (строительство несамоходного многочерпакового земснаряда производительностью  250 м3/час класса РРР «? Р 1,2 (лед 10) А»);;'171770723151077070100100090013011414';;;529326303.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""РЕЧВОДПУТЬ""";15.11.2017;29.05.2018;Определение поставщика завершено;;16.11.2017;06.12.2017;
44-ФЗ;№0173100005018000002;Электронный аукцион;Приобретение построенных патрульных катеров длиной 13,8-15 метров;;'181771454975177140100100340013011412';;;191296000.00;RUB;;;;;30.11.33.190: Суда прочие;30.11.33.190: Суда прочие;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;ФЕДЕРАЛЬНАЯ СЛУЖБА ПО НАДЗОРУ В СФЕРЕ ТРАНСПОРТА;17.04.2018;16.05.2018;Определение поставщика завершено;;17.04.2018;04.05.2018;
