Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0338100004622000020;Открытый конкурс в электронной форме;Приобретение служебно-разъездного судна длиной 19-20 метров;;'221410102046641010100100290013011406';;;284066700.00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";15.04.2022;04.05.2022;Определение поставщика завершено;;;04.05.2022;
44-ФЗ;№0324100019021000012;Открытый конкурс в электронной форме;приобретение служебно-разъездного судна длиной 19-20 метров;;'211519040824229010100100650023011244';;;284066700.00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";02.08.2021;05.08.2021;Определение поставщика отменено;;02.08.2021;24.08.2021;
44-ФЗ;№0338100004622000039;Открытый конкурс в электронной форме;Приобретение служебно-разъездного судна длиной 19-20 метров;;'221410102046641010100100540013011406';;;284066700.00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КАМЧАТСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";23.06.2022;12.07.2022;Определение поставщика завершено;;;11.07.2022;
44-ФЗ;№0324100019021000015;Открытый конкурс в электронной форме;приобретение служебно-вспомогательного судна длиной 19-20 метров - 2 единицы;;'211519040824229010100100720010000244';;;150000000.00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";12.11.2021;27.12.2021;Определение поставщика завершено;;12.11.2021;10.12.2021;
44-ФЗ;№0190200000320007293;Электронный аукцион;Поставка пассажирского водометного катера;;'202890101745289010100100410023011412';;;110000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ТРАНСПОРТА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА""";ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА;26.06.2020;04.08.2020;Определение поставщика завершено;;26.06.2020;29.07.2020;
44-ФЗ;№0190200000320009345;Электронный аукцион;Поставка пассажирского водометного катера;;'202890101745289010100100410033011412';;;110000000.00;RUB;;;;;30.11.21.120: Суда речные пассажирские;30.11.21.120: Суда речные пассажирские;"ГОСУДАРСТВЕННОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ДИРЕКЦИЯ ТРАНСПОРТА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА""";ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА;15.09.2020;01.10.2020;Определение поставщика завершено;;15.09.2020;30.09.2020;
44-ФЗ;№0324100019021000014;Открытый конкурс в электронной форме;приобретение служебно-вспомогательного судна длиной 19-20 метров;;'211519040824229010100100700023011244';;;75000000.00;RUB;;;;;"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"30.11.21.130: Суда пассажирские смешанного плавания ""река - море""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АРКТИЧЕСКАЯ ДИРЕКЦИЯ ПО ТЕХНИЧЕСКОМУ ОБЕСПЕЧЕНИЮ НАДЗОРА НА МОРЕ""";19.08.2021;02.09.2021;Определение поставщика отменено;;19.08.2021;10.09.2021;
44-ФЗ;№0320100031222000006;Электронный аукцион;"Поставка маломерного судна (многофункционального катера) для нужд ФГБУ ""Земля леопарда""";;'221253100338825430100100370013012244';;;16910333.34;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ПРИРОДНОГО БИОСФЕРНОГО ЗАПОВЕДНИКА ""КЕДРОВАЯ ПАДЬ"" И НАЦИОНАЛЬНОГО ПАРКА ""ЗЕМЛЯ ЛЕОПАРДА"" ИМЕНИ Н.Н. ВОРОНЦОВА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ПРИРОДНОГО БИОСФЕРНОГО ЗАПОВЕДНИКА ""КЕДРОВАЯ ПАДЬ"" И НАЦИОНАЛЬНОГО ПАРКА ""ЗЕМЛЯ ЛЕОПАРДА"" ИМЕНИ Н.Н. ВОРОНЦОВА""";22.04.2022;11.05.2022;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;22.04.2022;04.05.2022;
44-ФЗ;№0334100031622000016;Электронный аукцион;Поставка многоцелевого маломерного судна на воздушной подушке;;'221381117655438110100100180013012244';;;9675400.00;RUB;;;;;30.12.19.110: Суда прогулочные прочие;30.12.19.110: Суда прогулочные прочие;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ПРИРОДНОГО ЗАПОВЕДНИКА ""БАЙКАЛО-ЛЕНСКИЙ"" И ПРИБАЙКАЛЬСКОГО НАЦИОНАЛЬНОГО ПАРКА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ОБЪЕДИНЕННАЯ ДИРЕКЦИЯ ГОСУДАРСТВЕННОГО ПРИРОДНОГО ЗАПОВЕДНИКА ""БАЙКАЛО-ЛЕНСКИЙ"" И ПРИБАЙКАЛЬСКОГО НАЦИОНАЛЬНОГО ПАРКА""";29.06.2022;08.07.2022;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;29.06.2022;08.07.2022;
223-ФЗ;№32110502413;Прочие;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512634);;;1;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512634);8784000.00;EUR;;;;;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;
223-ФЗ;№32110502355;Прочие;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512633);;;1;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512633);8784000.00;EUR;;;;;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;
223-ФЗ;№32110502103;Прочие;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512632);;;1;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512632);8784000.00;EUR;;;;;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;
223-ФЗ;№32110501454;Прочие;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512631);;;1;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512631);8784000.00;EUR;;;;;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;
223-ФЗ;№32110500609;Прочие;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512630);;;1;Право заключения контракта на выполнение работ по строительству и поставке портового буксира ледового класса ARC4 (ОКПД 2 - 30.11.32.113 «Буксиры портовые») (стр. № 512630);8784000.00;EUR;;;;;30.11.32.113: Буксиры портовые;30.11.32.113: Буксиры портовые;ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ АТОМНОГО ФЛОТА;;26.07.2021;26.07.2021;Закупка завершена;;26.07.2021;;
44-ФЗ;№0138200003121000008;Открытый конкурс в электронной форме;Строительство автомобильно-пассажирского парома для организации паромного сообщения через протоку «Озерная» в Усть-Камчатском муниципальном районе;;;;;495000000.00;RUB;0;;;;;;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ХАБАРОВСКИЙ СУДОСТРОИТЕЛЬНЫЙ ЗАВОД""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМТЕХСЕРВИС""";"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИВАДИЙСКИЙ РЕМОНТНО-СУДОСТРОИТЕЛЬНЫЙ ЗАВОД""";18.06.2021;22.07.2021;Закупка завершена;;;15.07.2021;
44-ФЗ;№0138200001219000009;Электронный аукцион;Поставка автопассажирского парома;;192410112433841010100100220013011412;;;300739697.08;RUB;0;;;;;;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИВАДИЙСКИЙ РЕМОНТНО-СУДОСТРОИТЕЛЬНЫЙ ЗАВОД""";25.03.2019;12.04.2019;Закупка завершена;;;10.04.2019;
44-ФЗ;№0138200001218000038;Электронный аукцион;Поставка автопассажирского парома;;182410112433841010100100130013011412;;;300739697.08;RUB;0;;;;;;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ФИНАНСОВ КАМЧАТСКОГО КРАЯ;21.11.2018;21.02.2019;Закупка завершена;;;07.12.2018;
223-ФЗ;№31604353368;Иной способ;Право заключения договоров на выполнение комплекса работ по строительству и услуг по доставке до порта Холмск (Сахалинская область) грузопассажирских автомобильно-железнодорожных паромов для нужд ПАО «ГТЛК» ;;;1;Строительство и доставка грузопассажирского автомобильно-железнодорожного парома;;RUB;5000000000.00;;;;"30.11.21: Суда круизные, суда экскурсионные и аналогичные плавучие средства для перевозки пассажиров; паромы всех типов";;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГОСУДАРСТВЕННАЯ ТРАНСПОРТНАЯ ЛИЗИНГОВАЯ КОМПАНИЯ""";21.11.2016;21.11.2016;Закупка отменена;;;12.12.2016 12:00;
223-ФЗ;№32312031225;Иной способ;Запрос цен (№ ЦА 01-23) по выбору организации на право заключения договора на поставку автомобильно-пассажирского парома для нужд ФГУП «Росморпорт»;;;1;"поставка автомобильно-пассажирского парома для нужд ФГУП ""Росморпорт""";510056368.00;RUB;510056368.00;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";13.01.2023;27.01.2023;Закупка отменена;;;23.01.2023 11:00;
44-ФЗ;№0172200001622000107;Открытый конкурс в электронной форме;Снаряжение и поставка катера для оперативного реагирования на разливы нефти и нефтепродуктов;;222781501552378410100101350013011244;;;58680000.00;RUB;58680000.00;;;;;;КОМИТЕТ ПО ПРИРОДОПОЛЬЗОВАНИЮ, ОХРАНЕ ОКРУЖАЮЩЕЙ СРЕДЫ И ОБЕСПЕЧЕНИЮ ЭКОЛОГИЧЕСКОЙ БЕЗОПАСНОСТИ;КОМИТЕТ ПО ПРИРОДОПОЛЬЗОВАНИЮ, ОХРАНЕ ОКРУЖАЮЩЕЙ СРЕДЫ И ОБЕСПЕЧЕНИЮ ЭКОЛОГИЧЕСКОЙ БЕЗОПАСНОСТИ;30.12.2022;27.01.2023;Закупка завершена;;;25.01.2023;
223-ФЗ;№32211982691;Иной способ;Запрос котировок в электронной форме (№ ЦА 86-22) по выбору организации на право заключения договора на поставку автомобильно-пассажирского парома для нужд ФГУП «Росморпорт»;;;1;Поставка автомобильно-пассажирского парома для нужд ФГУП «Росморпорт» (ЦА 86-22);513372300.00;RUB;513372300.00;;;;30.11.21.119: Суда морские пассажирские прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";22.12.2022;26.12.2022;Закупка завершена;;;30.12.2022 09:00;
44-ФЗ;№0322100015822000046;Электронный аукцион;Оказание услуг финансовой  аренды (лизинга) несамоходный мелкосидящий земснаряд сборно-разборного типа с гидравлическим разрыхлителем;;221272100041027210100100270460000244;;;367621387.30;RUB;367621387.30;;;;;;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ АМУРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ """;"ФЕДЕРАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ АМУРСКОГО БАССЕЙНА ВНУТРЕННИХ ВОДНЫХ ПУТЕЙ """;16.11.2022;09.12.2022;Закупка завершена;;;02.12.2022;
223-ФЗ;№32211827029;Открытый конкурс (до 01.07.18);выполнение работ по строительству судна специального назначения для нужд ФГБУ «АМП Западной Арктики»;;;1;Выполнение работ по строительству судна специального назначения;342855000.00;RUB;342855000.00;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";08.11.2022;14.11.2022;Закупка завершена;;;24.11.2022 11:00;
44-ФЗ;№0373100134122000020;Открытый конкурс в электронной форме;Выполнение работ по строительству научно-исследовательского судна проекта ТСК.550;;221770824572377190100100190033011407;;;489372100.00;RUB;489372100.00;;;;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";26.09.2022;14.10.2022;Закупка завершена;;;12.10.2022;
44-ФЗ;№0319300003422000415;Электронный аукцион;Поставка судна на воздушной подушке для нужд Таймырского Долгано-Ненецкого муниципального района;;223840101134084010100101670013011244;;;58895000.00;RUB;58895000.00;;;;;;АДМИНИСТРАЦИЯ ТАЙМЫРСКОГО ДОЛГАНО-НЕНЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;УПРАВЛЕНИЕ МУНИЦИПАЛЬНОГО ЗАКАЗА И ПОТРЕБИТЕЛЬСКОГО РЫНКА АДМИНИСТРАЦИИ ТАЙМЫРСКОГО ДОЛГАНО-НЕНЕЦКОГО МУНИЦИПАЛЬНОГО РАЙОНА;13.09.2022;21.09.2022;Закупка завершена;;;21.09.2022;
223-ФЗ;№32211656230;Открытый конкурс (до 01.07.18);"Поставка маломерного судна в комплекте с транспортно-технологической тележкой для нужд ФГБУ ""АМП западной Арктики""";;;1;"Поставка маломерного судна в комплекте с транспортно-технологической тележкой для нужд ФГБУ ""АМП Западной Арктики""";106600333.33;RUB;106600333.33;;;;30.11.33.190: Суда прочие,29.20.23.114: Прицепы и полуприцепы, технически допустимая максимальная масса которых свыше 10 т;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";30.08.2022;31.10.2022;Закупка завершена;;;15.09.2022 11:00;
44-ФЗ;№0373100134122000016;Открытый конкурс в электронной форме;Выполнение работ по строительству научно-исследовательского судна проекта ТСК.550;;221770824572377190100100190023011407;;;489372100.00;RUB;489372100.00;;;;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";25.08.2022;23.09.2022;Закупка завершена;;;12.09.2022;
44-ФЗ;№0373100134122000010;Открытый конкурс в электронной форме;Выполнение работ по строительству научно-исследовательского судна проекта ТСК.550;;221770824572377190100100190013011407;;;489372100.00;RUB;489372100.00;;;;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ НАУЧНОЕ УЧРЕЖДЕНИЕ ""ВСЕРОССИЙСКИЙ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ РЫБНОГО ХОЗЯЙСТВА И ОКЕАНОГРАФИИ""";13.07.2022;11.08.2022;Закупка завершена;;;29.07.2022;
44-ФЗ;№0138200003122000006;Открытый конкурс в электронной форме;Строительство грузовой баржи грузоподъемностью 40 тонн;;222410112433841010100100190013011414;;;100000000.00;RUB;100000000.00;;;;;;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;МИНИСТЕРСТВО ТРАНСПОРТА И ДОРОЖНОГО СТРОИТЕЛЬСТВА КАМЧАТСКОГО КРАЯ;01.07.2022;26.07.2022;Закупка завершена;;;25.07.2022;
44-ФЗ;№0172200002522000055;Электронный аукцион;Поставка плавучих причалов из металлических понтонов;;222783844475178410100100010023011244;;;71000000.00;RUB;71000000.00;;;;;;"САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""АГЕНТСТВО ВНЕШНЕГО ТРАНСПОРТА""";КОМИТЕТ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ САНКТ-ПЕТЕРБУРГА;14.04.2022;26.04.2022;Закупка завершена;;;22.04.2022;
223-ФЗ;№32211312294;Открытый конкурс (до 01.07.18);Поставка маломерного судна ;;;1;"Поставка маломерного судна для нужд ФГБУ ""АМП Западной Арктики""";84320133.33;RUB;84320133.33;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""АДМИНИСТРАЦИЯ МОРСКИХ ПОРТОВ ЗАПАДНОЙ АРКТИКИ""";14.04.2022;27.05.2022;Закупка завершена;;;04.05.2022 11:00;
223-ФЗ;№32211306070;Иной способ;Открытый конкурс (№ ЦА 90-21) по выбору организации на право заключения договора на выполнение работ по строительству несамоходного фрезерного земснаряда для нужд ФГУП «Росморпорт» ;;;1;выполнение работ по строительству несамоходного фрезерного земснаряда для нужд ФГУП «Росморпорт» ;900000000.00;RUB;900000000.00;;;;30.11.33.190: Суда прочие;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""РОСМОРПОРТ""";12.04.2022;26.05.2022;Закупка завершена;;;11.05.2022 12:00;
44-ФЗ;№0350100002322000004;Электронный аукцион;Поставка многофункционального самоходного фрезерного земснаряда-амфибия;;221530200056753020100100130013011244;;;87700000.00;RUB;87700000.00;;;;;;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ ПАРК ""ВАЛДАЙСКИЙ""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ ПАРК ""ВАЛДАЙСКИЙ""";11.04.2022;21.04.2022;Закупка завершена;;;19.04.2022;
